冷轧纵切钢带,热轧卷板,热轧工字钢,热轧H型钢,热轧花纹卷板,冷成形纵切钢带,热镀锌钢卷,冷成形钢卷,热轧酸洗钢卷,热轧槽钢,热轧盘条,盘螺,开平板,热轧纵切钢带,热轧带肋钢筋,热轧酸洗纵切钢带,热镀锌钢板,C000064347,C000064474,C000045458,C000039499,C000056035,C000020245,C000045426,C000045466,C000045406,C000045450,C000005352,C000045716,C000003529,C000045464,C000062897,C000045448,C000062760,C000005103,C000062404,C000047736,C000003951,C000043992,C000044055,C000044076,C000005112,C000064753,C000066629,C000043718,C000062393,C000045421,C000045451,C000003742,C000005106,C000044017,C000045445,C000061202,C000020177,C000044001,C000046633,C000045433,C000039359,C000045439,C000049683,C000065690,C000003732,C000003869,C000029729,C000061124,C000006010,C000003921,C000045778,C000049187,C000048866,C000003865,C000005634,C000003992,C000066617,C000048174,C000043829,C000043994,C000041948,C000044026,C000043981,C000046852,C000049697,C000009707,C000005533,C000045621,C000005902,C000068176,C000043940,C000003554,C000045413,C000047704,C000063052,C000045434,C000003885,C000043987,C000060930,C000044054,C000045419,C000043905,C000049295,C000003877,C000049115,C000005080,C000003966,C000063035,C000064461,C000005007,C000058971,C000053125,C000038361,C000048978,C000043900,C000068206,C000062912,C000064423,C000005207,C000067848,C000003879,C000056089,C000054665,C000039354,C000056497,C000063993,C000044906,C000049198,C000062966,C000062481,C000005082,C000045441,C000045431,C000004033,C000045430,C000042437,C000068326,C000060822,C000065106,C000045463,C000034843,C000045423,C000068268,C000045442,C000005879,C000048925,C000048977,C000063918,C000045808,C000068371,C000067148,C000006073,C000064360,C000009905,C000045806,C000045446,C000044023,C000062226,C000003968,C000064980,C000039382,C000021283,C000045462,C000065674,C000005709,C000009747,C000068415,C000062968,C000043799,C000051757,C000064588,C000064610,C000066868,C000009916,C000044249,C000062279,C000056042,C000005742,C000067698,C000065510,C000043925,C000046080,C000045440,博兴县,邹平市,岱岳区,泰山区,滨城区,沾化区,肥城市,新泰市
-0.17184012,-0.04677432,-0.07406864,0.03140111,-0.038643904,-0.20961724,0.012549715,-0.046626188,-0.019770766,-0.11286212,0.9870736,0.29241648,0.28207922,0.3140134,0.41559342,-0.2635418,-0.040643036,-0.04866628,-0.35929286,-0.19301648,-0.2945486,-0.22636648,-0.35337147,-0.33134913,-0.46988615,-0.07085728,-0.035868697,-0.13758524,-0.2167712,-0.004732394,-0.35997334,-0.21232499,-0.13648155,0.28854,-0.3381295,-0.29341805,0.056342468,0.13402021,0.15561098,0.13716397,-0.16649535,0.60026807,0.17461975,0.25764704,0.15533516,-0.14907771,-0.16485146,-0.20220062,-0.19941886,-0.24940637,-0.07775315,0.16366902,-0.25532964,-0.19148426,-0.24766327,-0.12901701,-0.042066358,-0.23125428,-0.37110898,-0.1377073,0.15601186,0.20555687,0.13745978,0.105172664,-0.018304838,0.16895202,0.037591275,0.07894765,0.24248639,0.32576752,0.07604515,-0.3448185,0.25095457,-0.049114637,0.2692559,-0.25644445,0.16604023,-0.03758555,-0.2481102,0.09477287,0.47436333,0.29390404,-0.20753688,-0.16352388,-0.22468674,-0.21362229,-0.22407821,-0.60646844,-0.29305422,-0.27380195,-0.22625898,-0.30979636,-0.31344956,-0.15506026,0.3067185,-0.36553785,-0.5038252,-0.056543235,-0.22200923,-0.2838613,0.41849992,-0.00182383,0.055631008,-0.32728583,-0.10523404,-0.17909792,-0.3349017,0.3338163,0.005189658,0.2481943,0.1256552,0.4975758,-0.22725308,0.25372556,0.65642494,-0.30742764,0.33865958,0.07903079,-0.18860373,0.14821304,0.1918292,0.658529,0.8253978,-0.29819736,0.43423265,0.6150436,-0.092366084,-0.31939733,-0.28550193,-0.22426325,-0.16876563,-0.2338798,-0.03520911,-0.18834856,-0.18713804,-0.01561199,-0.036513768,0.6556665,0.007792468,-0.028519608,-0.3870097,-0.45571792,0.08349598,0.18250778,-0.39027774,0.24530037,-0.26254344,0.29920775,0.066603914,0.0030663,0.41292018,0.27366582,-0.16159022,0.10080578,0.6300837,0.36103064,-0.51331383,-0.2700664,-0.15122062,-0.53745204,0.48712048,-0.3097017,-0.20222096,0.725046,0.21064886,-0.46557134,-0.20339915,-0.57568544,0.40222088,-0.27071607,0.01314409,-0.19624788,-0.11875848,-0.4199696,0.3247937,-0.26195878,-0.31451666,0.18293828,0.14120476,-0.27695045,0.08560659,1.1827005,-0.30951,-0.36824793,1.5857631,0.5616932,-0.41509724,-1.0391713
0.27147502,-0.2682344,0.67272407,0.53271526,-0.23667787,-0.010694387,0.09398265,-0.007121471,0.075324945,0.7200986,1.5277178,-0.23438476,0.2875858,-0.0783047,-0.37597305,-0.11952153,0.17804788,0.03643469,-0.181419,0.2719096,-0.14120957,-0.12113649,-0.11217338,0.12450133,-0.17926355,0.35987842,0.29764357,0.34607857,-0.16135085,-0.11353748,-0.20411623,0.18149666,0.30371135,-0.613965,-0.15288106,-0.1502599,0.31788516,0.14971633,0.23262751,-0.15618785,0.23271334,-0.6648585,0.08606132,0.18386218,0.061199225,0.0446719,0.38854763,0.71475786,0.3530172,0.004672026,0.89115506,-0.64056194,-0.022945862,-0.1421093,-0.25344053,0.4328044,0.45281896,-0.15406725,-0.09919333,0.23349185,-0.12626797,0.18215996,-0.16764629,0.17782567,-0.30390206,-0.010991222,0.2027985,-0.079665475,0.21050352,0.1018377,0.27729937,-0.06486407,-0.007465724,0.30021957,0.14767762,-0.10338877,0.12958543,0.26108038,0.000322929,0.16516925,0.5191146,-0.0983819,-0.12982175,0.023262467,-0.07258688,0.38661915,-0.049672734,0.24774367,-0.13723342,-0.020706786,-0.30724853,0.4247367,0.17159672,0.59327674,0.10529621,0.220156,0.55339855,0.3641483,-0.058065582,-0.09552881,-0.01916658,0.03948059,0.23854288,-0.19646947,0.7858008,0.006242163,-0.13501768,-0.09014446,0.123441495,-0.059292022,0.07239577,0.05942542,0.0000942,-0.056392524,-0.608305,-0.006264027,0.10091186,0.5229981,-0.0000547,-0.1157943,0.013540001,0.09105475,-0.39690188,0.051584627,1.0753496,-0.6556956,0.7584576,-0.06133548,0.47806183,0.5258633,0.07129863,0.32268557,1.1151644,-0.07263844,-0.12291089,0.90937847,1.0708206,1.2565384,0.7903445,0.8097274,0.16881762,0.87467563,0.2759975,0.19173811,0.05601591,0.01036373,0.05461287,0.34980473,0.6427414,0.107533164,-0.124286495,-0.084146135,0.10501795,-0.29027212,0.06981684,-0.06555317,0.18488418,0.17629689,0.13947633,0.8424452,-0.015913699,0.43409872,0.30484226,-0.059668697,-0.4635969,-0.070076734,0.005277007,0.89547235,-0.4392376,0.13455607,0.105288655,-0.02864224,-0.0896046,0.7997826,0.13481006,0.8610567,0.05485374,0.36938325,-0.12275843,0.73503864,0.27113074,-0.8564572,0.3987191,0.18573344,-0.8464978,-0.37690318,0.59521186,0.20953526
0.013220593,-0.004760182,-0.07982664,-0.1603994,-0.085583985,-0.09409495,-0.0665406,-0.08862734,0.07509485,-0.09823445,0.22112077,0.060467992,0.12265663,-0.4335782,-0.11702236,0.19525972,-0.072604775,0.1547551,0.027083464,-0.042664625,-0.09598025,-0.19940677,-0.14892392,-0.016199443,-0.041839704,-0.10204366,-0.000912873,0.038273316,0.042521387,-0.10448529,0.091173366,-0.036807656,-0.048244108,-0.11388029,-0.008775651,-0.064494334,-0.033008788,-0.048298597,-0.118749484,-0.005154701,0.20678861,0.330337,-0.05045242,-0.07433049,-0.09447781,0.006327333,-0.060156137,-0.24214861,0.101412125,0.06756356,0.19493753,-0.030794295,-0.11193091,0.10768393,0.041965704,-0.2612985,0.08479643,0.002041595,-0.18101722,-0.026746,-0.16461615,-0.031530324,-0.03742193,-0.11144525,0.20293336,-0.06474973,-0.15553123,0.042084064,-0.17886749,0.16932295,0.076382786,-0.1542609,0.11646778,-0.14728151,0.038301215,0.03760613,-0.07464826,0.10502372,-0.2033471,0.08405922,-0.06479752,0.18338718,-0.14060456,-0.22524905,0.021413267,-0.07032555,-0.024069319,-0.19069989,-0.003453613,-0.20117469,-0.073695146,0.15784608,0.086476386,0.44807222,-0.03795194,-0.042139404,-0.16636711,0.110729046,-0.12279828,0.057732828,-0.26090962,0.18603946,-0.026275845,-0.11725529,0.43018493,-0.024818946,-0.08927355,-0.15281619,-0.19165477,-0.021861842,-0.16795494,0.017473144,0.14998904,-0.3671366,0.3442795,-0.1493562,-0.32923582,-0.17731188,-0.14893302,0.07533142,0.006735856,-0.016000008,0.20860106,-0.071814075,-0.25428915,0.14151765,0.31559557,-0.135181,-0.18667929,-0.14435317,-0.034298837,0.15223931,0.06824623,0.002948219,-0.08067077,-0.15571548,-0.19595689,0.1177922,-0.1636431,0.049570143,-0.33721158,0.26010495,0.007371102,-0.028533839,0.04091344,-0.11895197,0.21229514,-0.16261333,-0.047970243,0.019740332,-0.26474777,-0.10224857,0.10681328,0.05429354,-0.14202896,0.21381862,0.07229013,0.34658033,0.08082393,0.22383858,-0.1816143,-0.12581958,0.02716057,-0.1431469,-0.042269994,-0.3496353,-0.13471997,-0.4613727,0.2297434,-0.1721149,-0.08536075,0.001116027,-0.21936806,0.003592629,-0.14426062,0.040119845,0.40164992,-0.46943155,-0.1778686,-0.031256787,0.0691864,0.12015654,0.19020551,-0.045835417,-0.11112819,-0.16332878,0.023593556,-0.1739637
0.1198253,-0.16573453,0.056980852,0.031038115,-0.14016716,-0.033693682,0.017824957,-0.019404294,0.009030392,0.003339899,0.34692687,-0.9756589,0.17761627,0.17414293,-0.67895305,-0.080934435,0.15633334,-0.044306915,0.009333599,0.11617031,-0.000374217,-0.02634976,-0.046282645,0.041782618,-0.026524223,0.08391228,0.09278772,0.092008345,-0.037193194,0.032282546,-0.06952159,0.02475701,0.09464589,-0.9109445,-0.056745272,-0.021446787,-0.002290455,0.0636505,0.13946524,0.00038792,-0.13510723,-1.0751023,0.08363575,0.098841794,0.040886763,-0.10906753,0.102172986,0.092527464,0.059176654,-0.10597958,0.13114701,0.68578017,-0.10846679,-0.04415532,-0.18112579,0.022249686,0.08756869,-0.07550572,-0.005418596,-0.011652103,-0.00600506,0.051066786,0.04230302,0.07839438,-0.026636254,0.04266862,0.011489081,0.05603799,0.06450132,-0.19929366,0.033993963,-0.0420262,-0.046979625,0.029340673,0.06349682,-0.041471332,0.105982095,0.06803716,-0.16282684,0.06670318,0.08704951,-0.021058608,-0.057343937,-0.14842238,-0.08800328,-0.000873126,-0.117459446,0.01279031,-0.051435515,-0.052734725,-0.0997466,0.11308477,0.036316413,0.1928497,0.015271899,-0.009065863,-0.11547613,0.03703351,-0.05751462,-0.0575305,0.005048452,0.0440558,0.10559585,-0.041099645,0.21309872,-0.1298058,-0.0377215,0.056110892,-0.08570564,0.05340493,0.023325559,0.14321466,-0.22113335,-0.010400988,-0.9607442,-0.066651076,-0.00704612,0.05648036,-0.111808494,-0.000548162,0.010292827,0.010783642,-0.9003101,-0.07399718,0.7200258,-0.81154835,0.004664449,-0.099335775,0.023403278,0.017534684,0.020311503,0.114088,0.02002376,-0.08268817,-0.09572659,0.056761656,0.041201733,1.1153705,0.018833006,0.013030174,-0.07628688,0.040818907,0.018298334,0.075641535,-0.024729738,0.063868575,-0.06832906,0.057783116,0.03226429,0.022399707,-0.012867487,-0.0291694,-0.02658686,-0.2893939,0.107158124,-0.06854616,-0.04144469,0.121200256,-0.031929474,0.095751286,0.10319247,-0.033568103,-0.005290698,0.27628297,-1.0089283,-0.06851307,-0.07426217,0.20196459,-0.8066862,0.014491471,0.07042042,0.16665861,0.29416922,0.20076644,-0.04855736,0.0332939,0.008429084,0.1143016,0.10361482,0.04219788,0.35964242,-0.08736903,0.41972297,0.41068313,0.5916394,0.48929715,0.61544883,0.5005442
0.2256043,0.07390083,0.07241364,0.15378325,-0.022844031,0.049196173,0.13709813,0.06498144,0.071953826,0.059471145,0.103791974,0.15532653,0.15401301,0.49631226,-0.09240624,-0.108088404,-0.003402852,-0.14448972,-0.17960517,-0.1350681,-0.04473214,-0.13654245,-0.16354094,-0.29097968,-0.061875895,-0.21043599,-0.2948165,-0.19173048,-0.11915365,-0.022231082,-0.096541755,-0.10798656,-0.17791258,-0.29459074,-0.12136677,-0.024230693,-0.032417197,-0.25467092,-0.009104643,-0.13265297,-0.09719556,0.055930182,-0.09400528,-0.1698253,-0.06765739,-0.20653012,-0.13462856,-0.15727425,-0.266907,-0.16662067,-0.20224984,0.20916201,-0.287686,-0.04474457,-0.15095574,-0.058899764,-0.16578224,-0.15526022,-0.17720987,-0.34496793,-0.05386275,-0.046321742,0.086951986,-0.072551094,-0.022049997,-0.14649042,-0.28697798,0.02991869,-0.18196233,-0.06104251,-0.14330071,-0.22230399,-0.084721126,-0.071244106,-0.07859686,-0.29404777,-0.07723464,-0.30119255,-0.01637576,-0.12543933,-0.17493518,-0.22001815,-0.54668987,-0.20545346,-0.324683,-0.16044605,-0.21727367,-0.3342293,-0.054610908,-0.14883518,-0.096503645,-0.32127935,-0.3085259,-0.057884008,-0.18867464,-0.13646439,-0.48841846,-0.12875554,-0.10843805,-0.19491246,-0.19923104,-0.2997938,-0.12824744,-0.1929057,-0.3147344,-0.11245168,-0.06953474,-0.12430796,-0.27318057,0.015079835,-0.06922964,-0.37469545,-0.28079867,-0.005273506,0.0918625,-0.22715196,-0.019066239,-0.20968188,-0.001569713,0.039692115,-0.075037785,-0.36615762,-0.4804415,-0.042406663,0.251306,0.099332295,-0.267747,-0.24873203,-0.22277534,-0.11439632,-0.40545273,-0.31139925,-0.36015245,-0.18916437,-0.19918148,-0.44975498,-0.14492016,-0.15555038,-0.35850307,-0.35314387,-0.12847112,-0.3154489,-0.12517446,-0.13359828,-0.29780486,-0.07170138,-0.021914752,-0.09516427,-0.20925848,0.10730057,-0.07473879,-0.09614819,-0.15457417,0.15497759,-0.39638397,-0.07086564,-0.18329507,0.056311842,-0.52476203,-0.24557334,0.13231963,-0.20288388,0.25230244,-0.10187076,-0.17011963,-0.18579023,-0.30516672,-0.43039414,0.30957994,0.026586369,-0.09579185,0.20564379,0.09289367,-0.097598076,0.13430153,0.20446274,-0.22794992,-0.41694507,0.045115065,0.07237178,-0.1698333,0.24653915,-0.18563709,0.016019389,0.1270697,-0.21399228,-0.34511906,-0.041116692
0.23492701,0.046119872,0.1391108,0.13528799,0.2094016,0.005947395,0.07003069,0.04407956,0.14838903,0.008644365,-0.29119518,-0.15987633,-0.033606794,-0.074069284,-0.102272786,0.16789226,0.41407353,-0.21066725,0.23471466,0.10631142,-0.087515,0.19898793,0.17729637,0.11244136,0.14598587,0.3182005,0.2047729,0.17993721,0.12381713,-0.107599184,0.121650755,0.3786841,0.2922626,-0.10769868,0.015948717,0.15652727,0.17343444,-0.011179067,-0.13291499,0.009671086,-0.053520378,0.054543868,-0.21671648,-0.014569116,-0.06752344,0.000381849,0.17728299,0.10665065,0.041439004,0.08452868,-0.12624384,0.22917618,0.109795436,0.07069191,0.17638211,0.12811366,0.15922718,0.16788204,0.037369587,-0.050151166,0.03413415,0.16392468,0.0409475,0.080008246,0.1970292,0.12437323,-0.07724013,-0.0935781,-0.055229526,-0.43119428,-0.045741994,0.001536317,-0.04918809,-0.054779403,0.09949178,0.21279426,-0.012786266,0.03119222,0.19504906,-0.021528322,0.28414488,0.11588177,0.17626175,0.22678119,0.013380679,0.10502383,0.21356909,0.1832833,0.09863534,0.15667777,-0.039665803,-0.1241935,0.17989902,-0.08130788,0.015140429,0.062413458,0.07868327,0.26510912,0.015986076,-0.031571224,-0.1618914,0.027002253,0.057063628,0.20297514,-0.14958975,0.060485907,0.14508812,-0.17670526,-0.11898691,-0.2867344,-0.066845044,0.23785871,0.036666427,-0.1977511,-0.05351053,-0.006352478,0.14751484,0.33306894,0.14738779,0.31314495,0.1759779,0.07052909,0.028108805,-0.106714316,0.01114064,-0.04277383,0.27285823,0.27692658,0.107501,0.3550841,0.26253808,0.092282675,-0.18945968,-0.059808414,0.11329254,0.10801336,0.19026947,-0.32849562,0.15713315,0.19746055,0.09723601,0.21423294,0.20061435,0.015237309,-0.14049223,0.3508404,0.23159781,0.34730121,0.21840867,0.35423344,0.06850359,-0.03297868,0.10991158,0.24478857,0.1540167,0.23881847,0.08568963,0.380366,-0.171146,-0.11018263,0.5676957,0.42709407,-0.21446985,0.29319742,0.1471614,0.29905218,-0.055009298,-0.000879551,-0.20539239,0.3293785,0.3917748,-0.16797408,-0.120625116,-0.5557677,0.16077976,0.39589307,0.20648158,0.08715171,0.64746654,0.07247087,-0.108523786,-0.4824618,-0.057731755,-0.1460349,0.19622114,-0.3875183,-0.27710634,-0.105882324
0.07525554,0.03442542,0.18531711,0.11577986,0.024602123,0.107611336,0.03532651,0.04175157,-0.011618342,0.3376999,0.11097783,-0.18983239,-0.06584145,0.006056656,0.29217032,0.20005232,-0.09821449,0.030058155,-0.20388402,-0.21249317,-0.09506253,-0.17504212,-0.20314153,-0.22662407,0.11015384,-0.2808958,-0.080332704,-0.13404536,-0.09110521,-0.1368792,0.13849112,-0.048928563,-0.17672822,0.053060364,-0.24772318,-0.14103349,-0.068155974,-0.12071521,-0.003387009,-0.21983303,-0.2935165,0.19682835,-0.079932235,-0.15324135,-0.119758934,-0.2556449,-0.092657134,-0.6650388,-0.081929706,-0.058351487,0.044646297,-0.22638977,-0.146743,-0.2353594,-0.16937332,-0.094827965,0.2323215,-0.21828882,-0.17006038,0.13704124,-0.12106919,-0.10551821,0.053185657,-0.19182728,-0.18055399,-0.088236675,-0.09311278,-0.03282036,-0.00910313,-0.27844375,-0.0171173,-0.16206078,0.1020861,-0.12159092,-0.072911665,0.040747896,-0.12096093,-0.0661037,-0.067279175,0.008742031,-0.010822853,-0.032325156,0.11361972,-0.06399264,-0.11198298,-0.25391242,-0.21692094,0.23220892,-0.026551664,-0.025487997,-0.0168877,-0.18429886,-0.030702021,-0.2991848,-0.00044177,-0.17886026,0.08003721,-0.31766826,-0.13844812,-0.17728312,-0.16497508,-0.11503485,0.003298669,-0.22040528,-0.12644808,-0.13409992,-0.14546919,0.10622357,-0.054221887,-0.097413756,0.037015732,-0.42529073,-0.10463237,0.103384875,0.29649577,-0.25631806,-0.32772675,-0.04242567,-0.2219889,-0.07707239,0.029325625,-0.028526926,0.032039158,0.10078695,-0.34581572,-0.14054762,-0.21898054,0.0380744,-0.04518373,0.005309501,-0.12075326,0.011051347,-0.07951326,-0.232026,-0.4613991,0.13343696,-0.15282208,-0.22395098,-0.04542432,0.23776878,-0.043788053,-0.6122904,-0.13568482,-0.11195369,-0.21616028,0.026489984,-0.14998734,0.09328722,0.016222803,-0.039476294,-0.023899056,-0.04654186,0.04837662,-0.09805762,0.24775752,-0.05026025,0.21176952,0.083499685,-0.33887252,-0.09289416,-0.47627348,-0.38077018,-0.32919642,-0.009324743,0.03284146,-0.20548542,-0.08859346,0.13572681,0.2929491,-0.15313576,0.04207517,-0.18579978,-0.34316722,0.029317925,-0.10927978,0.14681697,-0.06382972,-0.14154693,-0.33589742,0.0249722,0.07237923,-0.001032807,0.01568189,0.08793997,-0.04863486,0.19737422,-0.14646856,-0.18281633
0.41314125,0.005068421,-0.106807984,0.005177981,0.07684647,-0.025288586,0.028912665,-0.07354647,-0.064662434,-0.11371701,0.3360063,-0.044379678,-0.20327227,0.13160826,-0.07992834,0.20162816,0.20595008,0.021407086,0.050783347,0.011970243,0.09727713,0.03309287,0.12160172,0.07469263,0.11129155,0.17866868,0.14401262,0.07204856,0.013423377,0.053485002,0.057179224,0.17327546,0.14379394,0.0008026,-0.07621129,0.011499827,-0.05142571,0.1068703,0.025298696,-0.062698305,0.012360125,0.20191629,0.071158566,0.030633066,-0.046149626,-0.21627894,0.06246394,0.13243604,-0.056904275,0.13835049,0.099346235,-0.26758027,0.09955153,0.10092842,0.073689975,0.13086085,0.09232545,0.018324057,0.033257242,0.06860772,0.042120785,0.11245191,0.05776484,-0.032696497,0.16504283,-0.07228239,0.001022372,0.02123177,0.10045739,-0.20845512,0.007963769,0.14820485,0.09055899,0.10685188,-0.0924029,0.15274508,-0.017126514,-0.036004465,-0.088975765,0.049158145,0.05770877,0.06180775,0.032441977,0.14531024,0.01829745,0.002100789,-0.20701942,0.07108989,0.10711085,0.1932959,0.1866206,-0.0073707,0.12197492,-0.16788706,-0.03752063,-0.006704433,-0.1852942,0.028456246,0.02090834,-0.102184206,0.01928937,-0.11800007,-0.040400084,0.09009741,-0.25163725,0.029371988,0.05331258,-0.025429713,-0.05903418,0.048243318,0.12917532,-0.089403525,0.18729381,-0.032518644,0.34724337,0.13140695,0.19575302,-0.0045121,-0.039079856,0.20999527,-0.15857157,-0.19796771,0.014552798,0.05559806,-0.46440765,0.087134264,0.17462523,0.16643293,-0.05063706,-0.05170222,0.089263886,-0.05767812,0.011266612,0.01754095,0.021590184,0.13701846,0.119698554,-0.5459729,0.021584578,-0.06247195,0.13163076,-0.3137518,-0.26763153,-0.010055666,0.06487127,0.115970224,0.045121606,-0.17990282,0.0751756,-0.41157916,-0.14849621,-0.060396656,0.099282265,-0.28140822,0.1959588,-0.15661378,0.42215338,-0.2636096,-0.055702444,-0.15552922,0.15283006,0.21502653,0.35137162,-0.08708317,0.013895329,-0.22310111,-0.37090802,0.008318706,0.4068865,0.13486543,0.07269406,-0.2777835,0.016643604,-0.030701889,-0.3481707,-0.031944096,-0.08232818,0.034025338,0.096647345,-0.020846609,0.114206575,0.07816273,0.19652832,0.089553885,0.12183277,-0.34140363,0.07972263,0.08558504
-1.376723,0.086275205,-0.2890001,-0.22659683,0.1634392,-0.003447696,-0.006178409,-0.014229597,0.04421991,-0.2376621,-0.26600322,0.034500435,-0.25348082,0.015578356,-0.4583723,-0.13089967,0.33700496,0.15277442,0.20954502,-0.045334693,0.32150218,0.35021332,0.31745136,0.36277652,0.3270493,-0.005426402,0.011595948,-0.091934465,0.29068476,0.4050531,0.31553409,0.044187304,0.003546042,0.1890492,0.26515856,0.32120568,-0.18121342,0.2610724,0.3468559,0.32989973,0.044804394,-0.26287127,0.33191746,0.33933458,0.27280235,0.16772385,-0.037751567,-0.61725444,-0.123145476,0.28779498,-0.2607986,-0.32031414,0.13063729,0.29022166,0.30130792,-0.41546914,-0.095022194,0.3654211,0.32171765,0.14725393,0.35001737,0.35052696,0.30849278,0.32245618,0.14982416,0.2619731,0.21272315,0.28604984,0.2788753,-0.010108017,0.234233,0.2909991,0.21425197,0.19923718,0.32404047,0.23572136,0.33712906,0.25120285,0.2072921,0.27827063,-0.29747796,0.25900412,0.27375644,0.1837542,0.2121667,0.34495986,0.24709935,0.11302631,0.18415694,0.3579446,0.2445568,0.33105,0.39072296,-0.22915843,0.15263656,0.2882396,-0.15619677,-0.21345948,0.3674459,0.22006574,0.32354376,0.065111555,0.15153256,0.35312662,-0.4159894,0.35648334,0.31118304,0.21650028,0.19188118,0.22367126,0.35266608,0.18936317,-0.001020731,0.26686847,-0.22464722,0.21424419,0.2694216,-0.19138965,0.34556568,0.34483644,0.10865532,0.20837474,-0.40140846,0.13607784,-0.67624676,0.059948906,-0.28030148,0.20807144,0.31910247,-0.22061907,0.058180317,-0.07338228,-0.75418484,0.2685417,0.24764842,-0.72854745,-0.59690815,-0.84837174,-0.40416595,-0.50530535,0.30806094,-0.8324548,0.21189435,0.2661459,0.27874416,0.18859643,0.32596508,-0.063356936,-0.36769128,0.4209442,0.29494965,0.19028926,0.27452758,0.510271,0.46755067,0.27058235,-0.031091288,-0.000218322,0.07280469,-0.86945385,0.20721741,-0.5178056,-0.07267549,0.13138664,-0.026105896,0.11136607,0.000156476,-1.1216025,-0.5581379,0.31002027,0.21723767,0.24605161,0.18049589,-0.81358314,0.15117751,-0.23808332,-0.06335839,0.34584036,0.20728096,-0.7784883,0.961188,1.149476,1.0116348,0.99415874,0.77917665,0.74900746,0.8887769,0.72889674
0.21228862,-0.11110705,0.00093769,-0.004764692,-0.15684609,-0.19516553,0.02015601,-0.1633804,0.009264177,-0.0027962,0.039140426,-0.18836822,0.022963196,-0.2781163,0.04586952,0.056184847,0.19205734,0.035591733,0.03399227,0.038182393,-0.02354895,0.00507042,0.06885782,0.111938484,0.0926323,0.04437285,-0.050748784,0.002480626,0.07814543,0.21188843,-0.0689016,-0.08774772,0.17231962,0.017658811,0.049917918,-0.009336155,0.16660815,0.13471606,0.18077843,0.07192757,-0.20761734,0.017722819,0.3190252,0.15404473,0.25231737,-0.020183079,-0.066817045,0.14947179,-0.040668804,0.056576062,-0.22513197,-0.36305267,-0.076472,-0.006166955,-0.1551607,-0.051275473,0.16218898,0.26470864,0.12816484,-0.05392633,0.34312028,0.22600876,0.15124725,0.07142129,0.34936878,0.20310244,0.30803338,0.35403436,0.15514833,0.03817004,-0.017395213,-0.009151033,0.14420351,-0.017704548,0.23477353,0.023903692,0.24184172,0.13167289,0.19187015,0.1488546,0.12529987,0.28661695,0.06747523,0.04438133,0.020625161,-0.11922475,0.021709787,-0.016784253,0.04333032,0.116827704,-0.095684074,-0.08398116,0.05729383,-0.1966793,0.17108035,0.228588,-0.04641727,-0.056124795,0.11903885,0.20921189,0.006437013,0.081690736,-0.15767047,0.069713846,-0.1549824,-0.20761096,0.20410576,0.12312229,-0.029261943,0.115069546,-0.03907073,-0.11505716,-0.05826693,-0.093071796,0.2355598,0.14233305,0.13845448,0.02141306,0.06604706,0.21149991,0.19799232,0.26814768,0.057820436,-0.17588782,0.43128917,-0.22771353,0.13283934,-0.06991968,0.23296668,0.019651186,0.20882925,0.10237773,0.11387079,0.14545527,0.013987695,0.20118043,0.13043185,0.22816877,0.008681871,0.13594864,0.044637393,-0.14531803,0.13424446,0.090053506,0.12072536,0.16603488,0.00468362,-0.12177196,0.055548772,-0.19969837,0.03544471,0.16507255,-0.078104824,-0.096411474,0.13753356,0.11938904,0.06881798,-0.097983465,-0.08723768,-0.11302121,-0.29404098,-0.43240103,0.2758583,0.09521709,0.034474995,0.025915243,-0.016994994,-0.23614025,0.066158056,-0.058717,0.13531977,-0.13215604,-0.20387018,0.11745048,-0.2700303,0.13960895,-0.02252211,0.13955364,0.07136469,0.42928997,0.03948433,-0.1789917,-0.059051782,-0.2637416,-0.38137558,-0.0644221,-0.29544577,-0.021029893
